word,global_frequency,document_frequency,idf_score
fly,26,19,2.960923
john,26,10,3.602777
chant,26,17,3.072149
pretending,26,16,3.132773
foreground,26,13,3.340412
dāna,26,7,3.959452
insubstantial,26,11,3.507467
sariputta,26,3,4.806750
sujato,26,7,3.959452
equivalent,25,19,2.960923
broader,25,20,2.909630
alertness,25,23,2.769868
lungs,25,16,3.132773
stressed,25,15,3.197312
application,25,18,3.014990
payasi,25,1,5.905362
gate,25,11,3.507467
seed,25,16,3.132773
christmas,25,9,3.708137
expressing,25,21,2.860839
loves,25,18,3.014990
senior,25,19,2.960923
career,25,20,2.909630
impossible,25,17,3.072149
british,25,21,2.860839
shifted,25,23,2.769868
righteous,25,18,3.014990
continuously,25,17,3.072149
walks,25,18,3.014990
representing,25,22,2.814319
silently,25,18,3.014990
complaining,25,14,3.266305
gautama,25,21,2.860839
accompanying,25,17,3.072149
spinning,25,16,3.132773
tiring,25,14,3.266305
clearer,25,20,2.909630
inhales,25,20,2.909630
elders,25,21,2.860839
hawk,25,5,4.295924
bases,25,15,3.197312
whoever,25,18,3.014990
overwhelmed,25,20,2.909630
grocery,25,15,3.197312
narrowing,25,15,3.197312
experiential,25,21,2.860839
denying,25,18,3.014990
draw,25,19,2.960923
hips,25,21,2.860839
themes,25,20,2.909630
hurrying,25,4,4.519067
noise,25,16,3.132773
perceiving,25,16,3.132773
sometime,25,23,2.769868
flourishing,25,5,4.295924
outcome,25,14,3.266305
rule,25,12,3.420455
w,25,11,3.507467
fold,25,19,2.960923
fires,25,14,3.266305
affects,25,21,2.860839
awkward,25,17,3.072149
squares,25,5,4.295924
ambition,25,13,3.340412
snow,25,4,4.519067
graduated,25,6,4.113602
china,24,10,3.602777
interacting,24,23,2.769868
affected,24,18,3.014990
immersion,24,12,3.420455
favor,24,21,2.860839
projections,24,18,3.014990
powers,24,9,3.708137
samyutta,24,10,3.602777
notions,24,15,3.197312
fits,24,20,2.909630
dimensions,24,17,3.072149
lovable,24,7,3.959452
deserve,24,15,3.197312
tears,24,18,3.014990
sayings,24,24,2.727308
loosen,24,20,2.909630
broke,24,15,3.197312
shut,24,17,3.072149
structure,24,20,2.909630
muscle,24,18,3.014990
aim,24,17,3.072149
faculty,24,18,3.014990
board,24,15,3.197312
circling,24,5,4.295924
atmosphere,24,18,3.014990
focuses,24,18,3.014990
temperature,24,21,2.860839
cares,24,21,2.860839
drinking,24,17,3.072149
receptivity,24,20,2.909630
visual,24,17,3.072149
seconds,24,20,2.909630
hike,24,13,3.340412
shoes,24,11,3.507467
drawing,24,16,3.132773
greetings,24,19,2.960923
trampoline,24,5,4.295924
finished,24,21,2.860839
transformed,24,17,3.072149
dance,24,11,3.507467
doer,24,14,3.266305
renounce,24,11,3.507467
precious,24,18,3.014990
speed,24,20,2.909630
sooner,24,21,2.860839
uncommon,24,20,2.909630
discern,24,18,3.014990
lineage,24,19,2.960923
season,24,13,3.340412
defining,24,21,2.860839
stabilize,24,15,3.197312
investigating,24,8,3.825920
purity,24,13,3.340412
cycles,24,13,3.340412
strive,24,11,3.507467
hospice,24,10,3.602777
conventional,24,11,3.507467
unconditional,24,19,2.960923
illusion,24,15,3.197312
shallow,24,11,3.507467
duty,24,13,3.340412
host,24,7,3.959452
attracted,24,14,3.266305
enjoyed,24,15,3.197312
therapy,24,12,3.420455
vipassana,24,8,3.825920
security,24,15,3.197312
intelligent,24,10,3.602777
classically,24,19,2.960923
abides,24,10,3.602777
externally,24,16,3.132773
composure,24,14,3.266305
intellectual,24,17,3.072149
naive,24,15,3.197312
finds,24,17,3.072149
jigsaw,24,1,5.905362
coordinated,24,9,3.708137
saṃsāra,24,9,3.708137
island,24,8,3.825920
sequence,24,11,3.507467
smells,24,14,3.266305
stanford,24,2,5.212215
trip,23,16,3.132773
stayed,23,20,2.909630
communication,23,13,3.340412
ceremony,23,11,3.507467
belonging,23,17,3.072149
represented,23,16,3.132773
mitta,23,9,3.708137
super,23,20,2.909630
guiding,23,18,3.014990
shaped,23,20,2.909630
responsibilities,23,18,3.014990
judgmental,23,15,3.197312
pausing,23,10,3.602777
emotionally,23,17,3.072149
degrees,23,16,3.132773
lifting,23,17,3.072149
ruminating,23,17,3.072149
faster,23,15,3.197312
vantage,23,17,3.072149
reverend,23,4,4.519067
fool,23,6,4.113602
killed,23,10,3.602777
radiance,23,17,3.072149
origination,23,13,3.340412
covered,23,16,3.132773
hearted,23,16,3.132773
celestial,23,21,2.860839
sunday,23,20,2.909630
cruelty,23,16,3.132773
overwhelming,23,16,3.132773
sister,23,11,3.507467
wrapped,23,17,3.072149
precisely,23,19,2.960923
shop,23,15,3.197312
figuring,23,18,3.014990
dullness,23,11,3.507467
computer,23,16,3.132773
acknowledging,23,20,2.909630
tough,23,15,3.197312
achieve,23,16,3.132773
harmonious,23,19,2.960923
attempt,23,22,2.814319
former,23,20,2.909630
builds,23,19,2.960923
nirvana,23,20,2.909630
style,23,21,2.860839
inspirations,23,8,3.825920
groundedness,23,14,3.266305
implies,23,17,3.072149
magical,23,18,3.014990
intro,23,11,3.507467
seemingly,23,21,2.860839
breeze,23,11,3.507467
designed,23,21,2.860839
younger,23,19,2.960923
cleaning,23,18,3.014990
drives,23,17,3.072149
landscape,23,18,3.014990
fingers,23,21,2.860839
liking,23,14,3.266305
finger,23,20,2.909630
conducive,23,17,3.072149
reflective,23,9,3.708137
greatest,23,20,2.909630
logic,23,17,3.072149
rage,23,15,3.197312
knot,23,13,3.340412
brighter,23,14,3.266305
directing,23,14,3.266305
filter,23,15,3.197312
grabbing,23,14,3.266305
sink,23,18,3.014990
failure,23,14,3.266305
u,23,13,3.340412
attributed,23,20,2.909630
unchanging,23,17,3.072149
hiking,23,14,3.266305
nicely,23,15,3.197312
cultivates,23,18,3.014990
passes,23,15,3.197312
compulsion,23,10,3.602777
pāramīs,23,10,3.602777
strategy,23,17,3.072149
scene,23,13,3.340412
afflicted,23,6,4.113602
account,23,14,3.266305
happier,23,18,3.014990
weekend,23,19,2.960923
applies,23,16,3.132773
ups,23,17,3.072149
downs,23,17,3.072149
flavors,23,18,3.014990
lucid,23,6,4.113602
immeasurables,23,15,3.197312
overview,23,15,3.197312
humor,23,7,3.959452
confident,23,16,3.132773
salt,23,12,3.420455
upāli,23,2,5.212215
bhutan,23,1,5.905362
lanka,22,16,3.132773
driver,22,15,3.197312
schools,22,14,3.266305
interaction,22,19,2.960923
e,22,14,3.266305
followers,22,12,3.420455
combination,22,17,3.072149
irc,22,14,3.266305
permanence,22,11,3.507467
lock,22,13,3.340412
strangers,22,20,2.909630
addressed,22,19,2.960923
kings,22,10,3.602777
hair,22,18,3.014990
upper,22,19,2.960923
rosemerry,22,7,3.959452
melt,22,18,3.014990
creativity,22,14,3.266305
heartbreak,22,9,3.708137
pair,22,11,3.507467
comforting,22,15,3.197312
grieving,22,11,3.507467
extremely,22,18,3.014990
beach,22,14,3.266305
corner,22,14,3.266305
collapse,22,19,2.960923
reached,22,20,2.909630
thrill,22,14,3.266305
forehead,22,14,3.266305
treating,22,15,3.197312
liberating,22,13,3.340412
serving,22,13,3.340412
handle,22,15,3.197312
slower,22,21,2.860839
campus,22,6,4.113602
lifetimes,22,13,3.340412
kin,22,3,4.806750
referred,22,21,2.860839
peacefulness,22,20,2.909630
lama,22,13,3.340412
expresses,22,18,3.014990
develops,22,19,2.960923
uprightness,22,17,3.072149
equal,22,14,3.266305
presented,22,17,3.072149
interfere,22,14,3.266305
paid,22,17,3.072149
discussing,22,16,3.132773
existing,22,17,3.072149
connects,22,20,2.909630
spiritually,22,14,3.266305
alms,22,15,3.197312
chain,22,7,3.959452
constructs,22,11,3.507467
surprise,22,20,2.909630
cookie,22,6,4.113602
bicycle,22,8,3.825920
beautifully,22,14,3.266305
holistic,22,12,3.420455
vibration,22,16,3.132773
revealed,22,17,3.072149
fearful,22,15,3.197312
manifest,22,17,3.072149
passage,22,10,3.602777
distortion,22,3,4.806750
graduate,22,10,3.602777
mutual,22,12,3.420455
singing,22,16,3.132773
unethical,22,13,3.340412
assembly,22,20,2.909630
merely,22,15,3.197312
shopping,22,14,3.266305
rooms,22,11,3.507467
visible,22,8,3.825920
glow,22,13,3.340412
contented,22,11,3.507467
shining,22,12,3.420455
simultaneously,22,8,3.825920
false,22,14,3.266305
greet,22,9,3.708137
ignoring,22,14,3.266305
imagery,22,11,3.507467
curtain,22,5,4.295924
lesson,22,11,3.507467
court,22,8,3.825920
hill,22,14,3.266305
beginnings,22,5,4.295924
ghost,22,3,4.806750
tao,22,5,4.295924
phase,21,14,3.266305
convinced,21,19,2.960923
religions,21,17,3.072149
green,21,17,3.072149
suggested,21,18,3.014990
statue,21,7,3.959452
historical,21,18,3.014990
business,21,17,3.072149
explicitly,21,17,3.072149
black,21,14,3.266305
extent,21,20,2.909630
university,21,14,3.266305
companion,21,13,3.340412
fills,21,19,2.960923
risk,21,18,3.014990
criteria,21,5,4.295924
register,21,16,3.132773
consequence,21,16,3.132773
motivations,21,16,3.132773
chose,21,19,2.960923
spontaneously,21,12,3.420455
gold,21,10,3.602777
worlds,21,16,3.132773
grace,21,15,3.197312
stealing,21,13,3.340412
trauma,21,13,3.340412
bag,21,10,3.602777
pretend,21,18,3.014990
crave,21,9,3.708137
unhappiness,21,13,3.340412
translator,21,19,2.960923
buddhas,21,17,3.072149
belongs,21,17,3.072149
preparing,21,17,3.072149
blowing,21,12,3.420455
walls,21,13,3.340412
familiarity,21,16,3.132773
tanya,21,7,3.959452
straightforward,21,16,3.132773
deny,21,19,2.960923
post,21,15,3.197312
bits,21,15,3.197312
stinginess,21,8,3.825920
dissolving,21,13,3.340412
burma,21,17,3.072149
filling,21,16,3.132773
local,21,13,3.340412
reaching,21,17,3.072149
species,21,15,3.197312
surviving,21,21,2.860839
surrounded,21,12,3.420455
cultures,21,18,3.014990
abbess,21,5,4.295924
distracting,21,16,3.132773
mindfully,21,16,3.132773
exciting,21,16,3.132773
founded,21,14,3.266305
bar,21,12,3.420455
faces,21,17,3.072149
handed,21,17,3.072149
summary,21,16,3.132773
washing,21,14,3.266305
decisions,21,18,3.014990
dishes,21,14,3.266305
jumping,21,18,3.014990
recognizes,21,18,3.014990
aspirations,21,13,3.340412
troubled,21,18,3.014990
granted,21,15,3.197312
b,21,16,3.132773
ultimately,21,16,3.132773
ourself,21,16,3.132773
appearance,21,11,3.507467
sessions,21,16,3.132773
disconnect,21,11,3.507467
dense,21,11,3.507467
yep,21,11,3.507467
gifts,21,21,2.860839
explanation,21,17,3.072149
progressive,21,10,3.602777
zone,21,13,3.340412
grieve,21,14,3.266305
appearances,21,11,3.507467
collecting,21,9,3.708137
lucky,21,15,3.197312
dismiss,21,13,3.340412
shines,21,12,3.420455
exhaling,21,17,3.072149
prioritize,21,10,3.602777
persistence,21,9,3.708137
cosmos,21,8,3.825920
honoring,21,15,3.197312
advantage,21,14,3.266305
hells,21,2,5.212215
parami,21,7,3.959452
attraction,21,3,4.806750
nowadays,20,9,3.708137
dismissive,20,15,3.197312
kalyāṇa,20,5,4.295924
currently,20,14,3.266305
stance,20,16,3.132773
promise,20,12,3.420455
joined,20,18,3.014990
replied,20,13,3.340412
greedy,20,15,3.197312
dive,20,16,3.132773
compelling,20,16,3.132773
proper,20,11,3.507467
lowest,20,11,3.507467
depicted,20,14,3.266305
respected,20,19,2.960923
indifference,20,12,3.420455
babies,20,12,3.420455
web,20,13,3.340412
demanding,20,16,3.132773
tap,20,19,2.960923
throwing,20,13,3.340412
embrace,20,13,3.340412
rational,20,14,3.266305
classical,20,16,3.132773
calendar,20,15,3.197312
pen,20,9,3.708137
reminds,20,20,2.909630
childhood,20,15,3.197312
per,20,17,3.072149
trail,20,15,3.197312
burmese,20,8,3.825920
integrate,20,15,3.197312
playful,20,14,3.266305
failing,20,13,3.340412
dwell,20,14,3.266305
hundred,20,16,3.132773
trace,20,14,3.266305
holiday,20,10,3.602777
roles,20,14,3.266305
occasion,20,15,3.197312
deity,20,15,3.197312
dedicate,20,16,3.132773
surrendering,20,6,4.113602
violent,20,11,3.507467
robes,20,12,3.420455
sunlight,20,16,3.132773
vehicle,20,15,3.197312
hunger,20,19,2.960923
rigid,20,14,3.266305
hesitation,20,10,3.602777
email,20,15,3.197312
diminish,20,17,3.072149
increases,20,15,3.197312
emphasizes,20,20,2.909630
tangled,20,10,3.602777
satipatthana,20,8,3.825920
boredom,20,10,3.602777
bored,20,13,3.340412
vastness,20,11,3.507467
hum,20,12,3.420455
shy,20,17,3.072149
tarrying,20,3,4.806750
crossed,20,15,3.197312
somatic,20,10,3.602777
cure,20,10,3.602777
leg,20,12,3.420455
hasn,20,19,2.960923
fundamentally,20,12,3.420455
shed,20,13,3.340412
interconnected,20,12,3.420455
jhanas,20,4,4.519067
breakout,20,11,3.507467
disconnection,20,12,3.420455
ram,20,6,4.113602
plus,20,15,3.197312
communicate,20,12,3.420455
dig,20,8,3.825920
tangle,20,7,3.959452
deliberateness,20,5,4.295924
bucket,20,8,3.825920
disappointed,19,13,3.340412
lighter,19,14,3.266305
shower,19,10,3.602777
drag,19,11,3.507467
interpreted,19,16,3.132773
council,19,3,4.806750
royal,19,10,3.602777
commit,19,11,3.507467
misconduct,19,9,3.708137
traveling,19,14,3.266305
provided,19,13,3.340412
inform,19,14,3.266305
seriously,19,16,3.132773
smiling,19,14,3.266305
victim,19,13,3.340412
inhabit,19,16,3.132773
encouraging,19,17,3.072149
office,19,13,3.340412
david,19,7,3.959452
confusing,19,18,3.014990
forgot,19,10,3.602777
burning,19,11,3.507467
tranquil,19,14,3.266305
intuitive,19,16,3.132773
heightened,19,11,3.507467
blades,19,15,3.197312
precise,19,13,3.340412
channel,19,17,3.072149
sliding,19,13,3.340412
pop,19,12,3.420455
tricky,19,14,3.266305
intent,19,11,3.507467
notes,19,14,3.266305
sights,19,12,3.420455
integration,19,12,3.420455
phenomenally,19,18,3.014990
ownership,19,14,3.266305
fulfillment,19,13,3.340412
prevent,19,13,3.340412
rushing,19,14,3.266305
harmed,19,13,3.340412
explained,19,14,3.266305
aging,19,15,3.197312
roam,19,9,3.708137
reinforcing,19,17,3.072149
creation,19,15,3.197312
contracting,19,11,3.507467
visiting,19,13,3.340412
repeated,19,17,3.072149
siddhartha,19,16,3.132773
radiation,19,4,4.519067
juice,19,9,3.708137
cosmic,19,15,3.197312
travel,19,16,3.132773
indeed,19,15,3.197312
knees,19,16,3.132773
highlighting,19,12,3.420455
identifying,19,12,3.420455
rejecting,19,14,3.266305
swimming,19,14,3.266305
fame,19,9,3.708137
perform,19,13,3.340412
accomplish,19,16,3.132773
resonance,19,14,3.266305
argue,19,16,3.132773
limitation,19,7,3.959452
receives,19,12,3.420455
observation,19,14,3.266305
attune,19,15,3.197312
distant,19,12,3.420455
star,19,13,3.340412
globe,19,7,3.959452
figured,19,19,2.960923
swept,19,12,3.420455
dread,19,9,3.708137
jack,19,13,3.340412
justice,19,14,3.266305
agency,19,15,3.197312
wash,19,14,3.266305
horses,19,6,4.113602
hiding,19,11,3.507467
refined,19,13,3.340412
passive,19,17,3.072149
de,19,15,3.197312
church,19,11,3.507467
pray,19,9,3.708137
sweetheart,19,9,3.708137
chosen,19,16,3.132773
claim,19,15,3.197312
certainty,19,7,3.959452
detailed,19,15,3.197312
overly,19,13,3.340412
maintaining,19,15,3.197312
reject,19,16,3.132773
boundless,19,12,3.420455
cook,19,12,3.420455
intimately,19,18,3.014990
foolish,19,6,4.113602
association,19,15,3.197312
dynamics,19,14,3.266305
fluidity,19,10,3.602777
lust,19,14,3.266305
widespread,19,2,5.212215
blah,19,6,4.113602
demons,19,3,4.806750
minister,19,6,4.113602
disputes,19,5,4.295924
holidays,19,6,4.113602
brightening,19,2,5.212215
khanti,19,4,4.519067
disappearing,19,11,3.507467
helplessness,19,11,3.507467
bernat,18,2,5.212215
biases,18,13,3.340412
authentic,18,13,3.340412
paradox,18,12,3.420455
philosophers,18,8,3.825920
spaces,18,11,3.507467
brains,18,11,3.507467
manifests,18,16,3.132773
america,18,13,3.340412
charge,18,13,3.340412
reduction,18,10,3.602777
professor,18,14,3.266305
skull,18,9,3.708137
strengths,18,14,3.266305
fantasizing,18,13,3.340412
arahant,18,10,3.602777
colleagues,18,15,3.197312
picked,18,15,3.197312
accompanied,18,15,3.197312
mud,18,12,3.420455
casually,18,12,3.420455
establish,18,17,3.072149
anytime,18,16,3.132773
ayya,18,4,4.519067
flip,18,13,3.340412
establishing,18,17,3.072149
dependence,18,7,3.959452
imaginary,18,13,3.340412
swim,18,11,3.507467
report,18,13,3.340412
planned,18,14,3.266305
commonly,18,16,3.132773
greeting,18,10,3.602777
conclusions,18,15,3.197312
hide,18,13,3.340412
bike,18,6,4.113602
inspires,18,18,3.014990
whatsoever,18,16,3.132773
mentally,18,15,3.197312
exhausting,18,16,3.132773
representation,18,12,3.420455
destroy,18,10,3.602777
antidote,18,12,3.420455
richness,18,14,3.266305
medium,18,13,3.340412
shadow,18,12,3.420455
tip,18,14,3.266305
substitute,18,15,3.197312
evocative,18,17,3.072149
logical,18,14,3.266305
option,18,15,3.197312
branches,18,14,3.266305
ripple,18,13,3.340412
simplifying,18,12,3.420455
behaviors,18,13,3.340412
letters,18,11,3.507467
sage,18,11,3.507467
radio,18,9,3.708137
produces,18,11,3.507467
corners,18,17,3.072149
lovingly,18,12,3.420455
popular,18,17,3.072149
sōtō,18,17,3.072149
releases,18,13,3.340412
pre,18,15,3.197312
party,18,12,3.420455
uncomfortableness,18,10,3.602777
dhammas,18,8,3.825920
microphone,18,7,3.959452
p,18,14,3.266305
sharp,18,11,3.507467
resolution,18,11,3.507467
soundscape,18,11,3.507467
z,18,10,3.602777
skillfully,18,14,3.266305
distorted,18,9,3.708137
permission,18,14,3.266305
entails,18,11,3.507467
plays,18,9,3.708137
desert,18,11,3.507467
potluck,18,9,3.708137
ascetic,18,13,3.340412
sidewalk,18,5,4.295924
apathy,18,8,3.825920
stars,18,10,3.602777
boulders,18,6,4.113602
fixated,18,10,3.602777
planting,18,13,3.340412
roll,18,14,3.266305
alleviate,18,8,3.825920
inhalation,18,9,3.708137
exhalation,18,10,3.602777
ānanda,18,7,3.959452
novel,18,14,3.266305
thirst,18,11,3.507467
uplifted,18,6,4.113602
disappointment,18,14,3.266305
swamp,18,3,4.806750
laughing,18,7,3.959452
remorse,18,8,3.825920
tassajara,18,6,4.113602
victory,18,5,4.295924
martine,17,2,5.212215
centuries,17,12,3.420455
influenced,17,12,3.420455
nearly,17,13,3.340412
humble,17,15,3.197312
layer,17,13,3.340412
waste,17,12,3.420455
excuse,17,13,3.340412
regardless,17,17,3.072149
pervading,17,7,3.959452
modest,17,13,3.340412
mild,17,14,3.266305
scared,17,11,3.507467
thin,17,13,3.340412
streams,17,11,3.507467
temporarily,17,12,3.420455
freeze,17,14,3.266305
load,17,4,4.519067
beat,17,11,3.507467
impression,17,17,3.072149
rope,17,9,3.708137
smelling,17,16,3.132773
laid,17,14,3.266305
yakkha,17,5,4.295924
neighborhood,17,16,3.132773
excellent,17,14,3.266305
enormously,17,11,3.507467
discussions,17,16,3.132773
quoted,17,11,3.507467
explicit,17,13,3.340412
concentrate,17,11,3.507467
letter,17,14,3.266305
northern,17,13,3.340412
nights,17,11,3.507467
dang,17,10,3.602777
multi,17,16,3.132773
sharon,17,9,3.708137
dropped,17,14,3.266305
hears,17,10,3.602777
depressed,17,16,3.132773
fading,17,14,3.266305
softens,17,14,3.266305
spatial,17,9,3.708137
tie,17,14,3.266305
transparent,17,9,3.708137
disease,17,12,3.420455
rose,17,11,3.507467
fields,17,12,3.420455
sensibility,17,12,3.420455
returned,17,17,3.072149
unmoving,17,4,4.519067
transformative,17,14,3.266305
rarely,17,14,3.266305
maturation,17,9,3.708137
injured,17,14,3.266305
survive,17,11,3.507467
cruz,17,14,3.266305
unresolved,17,9,3.708137
assumption,17,13,3.340412
prepared,17,14,3.266305
dalai,17,10,3.602777
freer,17,13,3.340412
wellspring,17,11,3.507467
interactions,17,13,3.340412
contributing,17,12,3.420455
psychologist,17,14,3.266305
classes,17,14,3.266305
organization,17,13,3.340412
healthcare,17,5,4.295924
forefront,17,16,3.132773
sentences,17,13,3.340412
politics,17,12,3.420455
satisfied,17,16,3.132773
dwelling,17,16,3.132773
hundreds,17,15,3.197312
caste,17,6,4.113602
pride,17,13,3.340412
knots,17,13,3.340412
andrea,17,8,3.825920
fork,17,7,3.959452
modes,17,5,4.295924
failed,17,11,3.507467
worthwhile,17,16,3.132773
invisible,17,13,3.340412
elbows,17,11,3.507467
evaluation,17,11,3.507467
saturates,17,10,3.602777
bread,17,6,4.113602
covering,17,14,3.266305
abdomen,17,10,3.602777
gateway,17,10,3.602777
undistracted,17,6,4.113602
repeating,17,13,3.340412
triggered,17,15,3.197312
worst,17,14,3.266305
rejection,17,15,3.197312
volunteering,17,6,4.113602
concrete,17,14,3.266305
moods,17,16,3.132773
burn,17,14,3.266305
wounds,17,8,3.825920
vulnerability,17,12,3.420455
rivers,17,11,3.507467
pursue,17,10,3.602777
decides,17,15,3.197312
answered,17,14,3.266305
pitaka,17,15,3.197312
martin,17,9,3.708137
miller,17,2,5.212215
vanessa,17,6,4.113602
bodhicitta,17,7,3.959452
relative,17,13,3.340412
vital,17,14,3.266305
translating,17,14,3.266305
dot,17,2,5.212215
dialogue,17,11,3.507467
attack,17,13,3.340412
threat,17,13,3.340412
instrument,17,13,3.340412
scope,17,13,3.340412
continually,17,11,3.507467
greeks,17,3,4.806750
victoria,17,2,5.212215
encourages,17,13,3.340412
climate,17,13,3.340412
energized,17,10,3.602777
worrying,17,16,3.132773
forgive,17,11,3.507467
reveals,17,12,3.420455
drift,17,15,3.197312
intuition,17,16,3.132773
demon,17,4,4.519067
attaining,17,13,3.340412
rolling,17,13,3.340412
plane,17,9,3.708137
monkeys,17,5,4.295924
rerun,17,12,3.420455
amidst,17,13,3.340412
harbor,17,1,5.905362
mirghafori,17,12,3.420455
egoic,17,12,3.420455
nurture,17,13,3.340412
sexuality,17,6,4.113602
complexity,17,12,3.420455
cousin,17,9,3.708137
saññā,17,6,4.113602
poignancy,17,12,3.420455
prayers,17,7,3.959452
remainder,17,5,4.295924
concord,17,5,4.295924
bells,17,7,3.959452
soothe,17,7,3.959452
dirt,17,8,3.825920
householder,17,6,4.113602
metaphysical,17,15,3.197312
sixth,16,14,3.266305
rejoice,16,8,3.825920
symbolic,16,9,3.708137
raw,16,13,3.340412
method,16,11,3.507467
preserved,16,12,3.420455
technology,16,10,3.602777
odd,16,13,3.340412
unfortunately,16,12,3.420455
distressed,16,11,3.507467
dramatically,16,15,3.197312
nurturing,16,14,3.266305
contract,16,15,3.197312
admit,16,11,3.507467
cost,16,11,3.507467
sophisticated,16,13,3.340412
rice,16,9,3.708137
rough,16,13,3.340412
laugh,16,8,3.825920
ran,16,15,3.197312
managed,16,12,3.420455
devoted,16,12,3.420455
mythology,16,7,3.959452
thursday,16,12,3.420455
wrap,16,11,3.507467
woods,16,12,3.420455
cave,16,8,3.825920
beating,16,8,3.825920
bay,16,12,3.420455
analyze,16,13,3.340412
lift,16,11,3.507467
sockets,16,14,3.266305
worries,16,13,3.340412
massaging,16,13,3.340412
concentrating,16,13,3.340412
doubts,16,9,3.708137
zero,16,13,3.340412
grove,16,10,3.602777
majesty,16,11,3.507467
stretching,16,13,3.340412
labels,16,4,4.519067
january,16,10,3.602777
hook,16,9,3.708137
adult,16,15,3.197312
inhabiting,16,15,3.197312
recall,16,12,3.420455
connections,16,13,3.340412
acquire,16,12,3.420455
angle,16,15,3.197312
internet,16,10,3.602777
college,16,11,3.507467
coast,16,10,3.602777
square,16,11,3.507467
mess,16,11,3.507467
evolution,16,13,3.340412
yoni,16,4,4.519067
demonic,16,14,3.266305
penetrating,16,10,3.602777
richer,16,14,3.266305
refreshed,16,11,3.507467
delighting,16,11,3.507467
unnecessarily,16,14,3.266305
engineer,16,10,3.602777
meditated,16,15,3.197312
understandings,16,14,3.266305
progressively,16,11,3.507467
affliction,16,8,3.825920
disappeared,16,14,3.266305
navigating,16,11,3.507467
elaborate,16,15,3.197312
contribution,16,11,3.507467
bark,16,5,4.295924
addiction,16,11,3.507467
highlighted,16,15,3.197312
piṭaka,16,15,3.197312
constriction,16,12,3.420455
tasting,16,16,3.132773
advanced,16,13,3.340412
gains,16,13,3.340412
quantum,16,12,3.420455
importantly,16,15,3.197312
underestimate,16,12,3.420455
placed,16,14,3.266305
measuring,16,12,3.420455
diminishes,16,10,3.602777
criticize,16,13,3.340412
periphery,16,14,3.266305
freezing,16,10,3.602777
urgency,16,11,3.507467
moisture,16,9,3.708137
sayadaw,16,6,4.113602
teeth,16,9,3.708137
viveka,16,1,5.905362
doorway,16,14,3.266305
songs,16,9,3.708137
shoot,16,5,4.295924
vocabulary,16,11,3.507467
discipline,16,14,3.266305
joseph,16,12,3.420455
frustrated,16,14,3.266305
impatient,16,9,3.708137
forgetting,16,16,3.132773
regret,16,11,3.507467
interpersonal,16,7,3.959452
resilience,16,11,3.507467
introducing,16,13,3.340412
picking,16,15,3.197312
narratives,16,12,3.420455
increasing,16,14,3.266305
paths,16,10,3.602777
survival,16,13,3.340412
played,16,10,3.602777
frozen,16,9,3.708137
announcement,16,13,3.340412
brahmins,16,8,3.825920
continuation,16,16,3.132773
occurred,16,16,3.132773
pandemic,16,13,3.340412
suggests,16,15,3.197312
involvement,16,12,3.420455
descriptions,16,16,3.132773
visualize,16,12,3.420455
apologize,16,14,3.266305
baggage,16,9,3.708137
lightest,16,10,3.602777
input,16,8,3.825920
formations,16,11,3.507467
evolutionary,16,9,3.708137
contemplate,16,13,3.340412
tech,16,7,3.959452
carries,16,16,3.132773
puzzles,16,2,5.212215
relates,16,13,3.340412
dice,16,3,4.806750
devadatta,16,5,4.295924
enduring,16,6,4.113602
scent,16,7,3.959452
miserable,16,8,3.825920
naming,16,11,3.507467
ship,16,4,4.519067
blow,16,14,3.266305
relinquishment,16,7,3.959452
expanse,16,4,4.519067
dubious,16,2,5.212215
mushrooms,16,2,5.212215
encountered,15,14,3.266305
article,15,11,3.507467
german,15,14,3.266305
quest,15,10,3.602777
rituals,15,8,3.825920
exchange,15,13,3.340412
thich,15,10,3.602777
nhat,15,10,3.602777
hanh,15,10,3.602777
reminding,15,14,3.266305
tries,15,14,3.266305
centers,15,11,3.507467
suitable,15,7,3.959452
sand,15,11,3.507467
uplifting,15,12,3.420455
constancy,15,10,3.602777
nostrils,15,12,3.420455
thief,15,3,4.806750
thrown,15,13,3.340412
bundle,15,5,4.295924
pile,15,9,3.708137
hindu,15,13,3.340412
besides,15,12,3.420455
behaving,15,13,3.340412
missing,15,8,3.825920
missed,15,12,3.420455
ideal,15,13,3.340412
roof,15,6,4.113602
disciple,15,14,3.266305
nibbana,15,9,3.708137
settings,15,12,3.420455
insufficiency,15,5,4.295924
hopes,15,13,3.340412
inadequacy,15,12,3.420455
honestly,15,14,3.266305
painfulness,15,15,3.197312
leaf,15,9,3.708137
contemplating,15,9,3.708137
remembered,15,12,3.420455
stone,15,9,3.708137
nonetheless,15,10,3.602777
strengthen,15,15,3.197312
willfulness,15,10,3.602777
collapsing,15,13,3.340412
request,15,12,3.420455
h,15,8,3.825920
n,15,10,3.602777
dip,15,14,3.266305
abstraction,15,4,4.519067
enjoyment,15,13,3.340412
determined,15,14,3.266305
size,15,11,3.507467
county,15,10,3.602777
tremendously,15,15,3.197312
optional,15,8,3.825920
resonate,15,14,3.266305
trusted,15,10,3.602777
messages,15,13,3.340412
passivity,15,9,3.708137
chocolate,15,9,3.708137
intended,15,14,3.266305
oak,15,4,4.519067
reflected,15,13,3.340412
shorter,15,13,3.340412
chase,15,11,3.507467
dies,15,12,3.420455
defend,15,12,3.420455
la,15,9,3.708137
