word,global_frequency,document_frequency,idf_score
video,395,367,0.000000
truth,395,110,1.204881
contains,394,367,0.000000
gently,393,177,0.729212
wanting,393,142,0.949535
changing,392,118,1.134677
room,390,164,0.805495
community,389,103,1.270633
meaning,388,185,0.685006
relationship,387,159,0.836458
clearly,386,157,0.849116
www,384,367,0.000000
audiodharma,384,367,0.000000
auto,383,367,0.000000
subtitles,383,367,0.000000
inaccuracies,383,367,0.000000
hear,379,157,0.849116
form,379,198,0.617095
close,378,212,0.548776
yes,378,148,0.908150
morning,376,198,0.617095
wholesome,374,105,1.251401
rest,374,193,0.642672
holding,373,154,0.868409
arises,370,158,0.842767
call,367,174,0.746307
conditions,367,127,1.061175
stories,366,122,1.101341
movement,365,158,0.842767
relaxing,364,139,0.970888
subtle,363,126,1.069080
caught,363,145,0.928628
pleasant,362,120,1.117870
metta,361,56,1.880010
arise,357,165,0.799416
used,355,186,0.679615
anger,355,99,1.310242
living,355,165,0.799416
flow,354,119,1.126238
qualities,353,130,1.037827
patience,349,46,2.076720
focus,348,145,0.928628
kinds,345,173,0.752070
example,344,162,0.817766
small,343,160,0.830188
offer,342,168,0.781398
somebody,341,97,1.330651
strong,341,149,0.901416
poem,341,69,1.671255
imagine,340,171,0.763698
probably,339,170,0.769563
diana,338,58,1.844919
harm,337,89,1.416725
practicing,336,170,0.769563
stress,336,145,0.928628
friend,335,120,1.117870
made,334,165,0.799416
river,332,53,1.935070
difficult,332,151,0.888082
experiences,332,133,1.015013
noticing,329,117,1.143188
conflict,329,36,2.321843
allows,326,152,0.881481
natural,325,141,0.956602
sensing,325,97,1.330651
tradition,324,142,0.949535
came,324,148,0.908150
read,323,145,0.928628
becoming,323,149,0.901416
wrong,320,129,1.045549
giving,318,149,0.901416
dharmette,318,208,0.567824
translated,318,182,0.701355
retreat,317,131,1.030165
capacity,316,127,1.061175
known,314,188,0.668920
quality,314,131,1.030165
activity,314,115,1.160430
connected,310,143,0.942517
noble,310,92,1.383573
remember,308,155,0.861937
stop,308,140,0.963719
feelings,308,139,0.970888
somehow,307,178,0.723578
awakening,305,104,1.260971
whether,304,161,0.823957
year,303,103,1.270633
effort,302,95,1.351485
