word,global_frequency_percent,document_frequency_percent,global_freq_score,document_freq_score,avg_tfidf_score,combined_score
teachings,0.001,0.471,0.999,0.943,0.017,0.125
wanting,0.001,0.387,0.999,0.774,0.020,0.125
system,0.000,0.245,1.000,0.490,0.032,0.125
pressure,0.000,0.297,1.000,0.594,0.026,0.124
intelligence,0.000,0.060,1.000,0.120,0.129,0.124
matthew,0.000,0.123,1.000,0.245,0.063,0.124
steady,0.000,0.147,1.000,0.294,0.053,0.124
ideas,0.001,0.447,0.999,0.894,0.017,0.124
delusion,0.000,0.218,1.000,0.436,0.035,0.124
brensilver,0.000,0.120,1.000,0.240,0.064,0.124
true,0.001,0.417,0.999,0.834,0.018,0.124
chaplaincy,0.000,0.038,1.000,0.076,0.201,0.124
simple,0.001,0.540,0.999,0.921,0.017,0.124
holding,0.001,0.420,0.999,0.839,0.018,0.124
movement,0.001,0.417,0.999,0.834,0.018,0.124
new,0.001,0.518,0.999,0.965,0.016,0.124
greed,0.000,0.245,1.000,0.490,0.031,0.123
settle,0.001,0.520,0.999,0.959,0.016,0.123
awakening,0.001,0.248,0.999,0.496,0.031,0.123
stress,0.000,0.248,1.000,0.496,0.031,0.123
room,0.001,0.447,0.999,0.894,0.017,0.123
sound,0.000,0.262,1.000,0.523,0.029,0.123
somebody,0.001,0.262,0.999,0.523,0.029,0.123
soften,0.001,0.371,0.999,0.741,0.020,0.123
speech,0.000,0.150,1.000,0.300,0.050,0.122
relaxed,0.001,0.341,0.999,0.681,0.022,0.122
appreciation,0.000,0.196,1.000,0.392,0.038,0.122
clearly,0.001,0.428,0.999,0.856,0.018,0.122
stay,0.001,0.531,0.999,0.937,0.016,0.122
nature,0.001,0.428,0.999,0.856,0.017,0.122
subjective,0.000,0.033,1.000,0.065,0.227,0.122
silence,0.000,0.215,1.000,0.431,0.034,0.122
gentle,0.000,0.297,1.000,0.594,0.025,0.122
refuge,0.000,0.114,1.000,0.229,0.065,0.122
ethical,0.000,0.158,1.000,0.316,0.047,0.121
death,0.000,0.169,1.000,0.338,0.043,0.121
belly,0.000,0.343,1.000,0.687,0.021,0.121
quality,0.001,0.332,0.999,0.665,0.022,0.121
got,0.001,0.455,0.999,0.910,0.016,0.121
retreat,0.001,0.357,0.999,0.714,0.020,0.121
selfing,0.000,0.065,1.000,0.131,0.112,0.121
peaceful,0.001,0.496,0.999,0.992,0.015,0.121
extra,0.000,0.188,1.000,0.376,0.039,0.120
towards,0.001,0.507,0.999,0.986,0.015,0.120
natural,0.001,0.373,0.999,0.747,0.019,0.120
year,0.000,0.232,1.000,0.463,0.031,0.120
experiences,0.001,0.357,0.999,0.714,0.020,0.120
purpose,0.000,0.251,1.000,0.501,0.029,0.120
yes,0.001,0.403,0.999,0.807,0.018,0.120
lives,0.001,0.447,0.999,0.894,0.016,0.120
arises,0.001,0.414,0.999,0.828,0.017,0.120
concentration,0.000,0.237,1.000,0.474,0.030,0.120
grief,0.000,0.136,1.000,0.272,0.053,0.120
questioner,0.000,0.106,1.000,0.213,0.067,0.120
recognize,0.001,0.433,0.999,0.866,0.016,0.119
learn,0.001,0.450,0.999,0.899,0.016,0.119
hindrances,0.000,0.134,1.000,0.267,0.053,0.119
cultivating,0.000,0.213,1.000,0.425,0.033,0.119
enter,0.000,0.243,1.000,0.485,0.029,0.119
profound,0.000,0.232,1.000,0.463,0.031,0.119
wish,0.001,0.441,0.999,0.883,0.016,0.119
fully,0.001,0.362,0.999,0.725,0.020,0.119
focus,0.001,0.384,0.999,0.768,0.018,0.119
air,0.000,0.204,1.000,0.409,0.035,0.119
notice,0.001,0.569,0.999,0.861,0.016,0.119
inside,0.001,0.485,0.999,0.970,0.015,0.119
trust,0.000,0.234,1.000,0.469,0.030,0.119
relationship,0.001,0.431,0.999,0.861,0.016,0.118
contact,0.000,0.226,1.000,0.452,0.031,0.118
nothing,0.001,0.512,0.999,0.975,0.014,0.118
views,0.001,0.144,0.999,0.289,0.048,0.118
strong,0.001,0.406,0.999,0.812,0.017,0.118
teacher,0.001,0.365,0.999,0.730,0.019,0.118
connecting,0.000,0.142,1.000,0.283,0.049,0.118
arise,0.001,0.433,0.999,0.866,0.016,0.118
mindfulness,0.002,0.605,0.998,0.790,0.017,0.118
connected,0.001,0.376,0.999,0.752,0.018,0.118
unwholesome,0.000,0.158,1.000,0.316,0.044,0.117
calming,0.000,0.114,1.000,0.229,0.060,0.117
stability,0.000,0.196,1.000,0.392,0.035,0.117
discover,0.000,0.223,1.000,0.447,0.031,0.117
hand,0.001,0.365,0.999,0.730,0.019,0.117
wholeness,0.000,0.134,1.000,0.267,0.051,0.117
intention,0.000,0.234,1.000,0.469,0.029,0.117
harmony,0.000,0.101,1.000,0.202,0.068,0.117
generosity,0.000,0.196,1.000,0.392,0.035,0.117
confidence,0.000,0.161,1.000,0.322,0.042,0.117
offer,0.001,0.458,0.999,0.916,0.015,0.117
wrong,0.001,0.351,0.999,0.703,0.019,0.117
characteristics,0.000,0.161,1.000,0.322,0.042,0.117
moments,0.000,0.360,1.000,0.719,0.019,0.117
elements,0.000,0.101,1.000,0.202,0.067,0.116
softening,0.000,0.330,1.000,0.659,0.021,0.116
opening,0.001,0.368,0.999,0.736,0.018,0.116
let's,0.001,0.431,0.999,0.861,0.016,0.116
didn't,0.001,0.504,0.999,0.992,0.014,0.116
begins,0.001,0.384,0.999,0.768,0.018,0.116
arising,0.001,0.343,0.999,0.687,0.020,0.116
saying,0.001,0.537,0.999,0.926,0.015,0.116
field,0.000,0.270,1.000,0.540,0.025,0.116
receiving,0.000,0.150,1.000,0.300,0.045,0.116
oh,0.003,0.632,0.997,0.736,0.018,0.116
attitude,0.000,0.213,1.000,0.425,0.032,0.116
years,0.001,0.520,0.999,0.959,0.014,0.116
hatred,0.000,0.210,1.000,0.420,0.032,0.116
shore,0.000,0.052,1.000,0.104,0.129,0.116
orientation,0.000,0.226,1.000,0.452,0.030,0.116
fetter,0.000,0.014,1.000,0.027,0.491,0.116
concepts,0.000,0.139,1.000,0.278,0.048,0.116
approach,0.000,0.204,1.000,0.409,0.033,0.116
involved,0.000,0.324,1.000,0.649,0.021,0.116
faith,0.000,0.128,1.000,0.256,0.052,0.116
allows,0.001,0.414,0.999,0.828,0.016,0.116
gathering,0.000,0.204,1.000,0.409,0.033,0.115
shifting,0.000,0.163,1.000,0.327,0.041,0.115
simply,0.001,0.406,0.999,0.812,0.016,0.115
operating,0.000,0.196,1.000,0.392,0.034,0.115
living,0.001,0.436,0.999,0.872,0.015,0.115
direct,0.000,0.270,1.000,0.540,0.025,0.115
feelings,0.001,0.362,0.999,0.725,0.018,0.115
courage,0.000,0.071,1.000,0.142,0.093,0.115
sort,0.000,0.281,1.000,0.561,0.023,0.115
within,0.001,0.542,0.999,0.916,0.014,0.115
emotions,0.001,0.335,0.999,0.670,0.020,0.115
big,0.001,0.501,0.999,0.997,0.013,0.115
appreciate,0.001,0.501,0.999,0.997,0.013,0.114
becoming,0.001,0.387,0.999,0.774,0.017,0.114
object,0.000,0.259,1.000,0.518,0.025,0.114
caring,0.000,0.245,1.000,0.490,0.027,0.114
steadiness,0.000,0.098,1.000,0.196,0.067,0.114
meet,0.001,0.376,0.999,0.752,0.017,0.114
practicing,0.001,0.460,0.999,0.921,0.014,0.114
delight,0.000,0.226,1.000,0.452,0.029,0.114
beyond,0.000,0.226,1.000,0.452,0.029,0.114
staying,0.000,0.275,1.000,0.550,0.024,0.114
relax,0.001,0.569,0.999,0.861,0.015,0.114
pause,0.000,0.155,1.000,0.311,0.042,0.114
beginning,0.001,0.523,0.999,0.954,0.014,0.114
